"X","id","pop","pop_rank","url_name","display_name","name","name_long","processed_name","Lat","Lng"
1,"31000US35620",20031443,1,"new-york-northern-new-jersey-long-island-ny-nj-pa-metro-area","New York-Newark-Jersey City, NY-NJ-PA Metro Area","New York-Newark-Jersey City, NY-NJ-PA Metro Area","New York-Newark-Jersey City, NY-NJ-PA Metro Area","New+YorkNewarkJersey+City+NYNJPA+Metro+Area","40.7127761","-74.0059544"
2,"31000US31080",13189366,2,"los-angeles-long-beach-anaheim-ca-metro-area","Los Angeles-Long Beach-Anaheim, CA Metro Area","Los Angeles-Long Beach-Anaheim, CA Metro Area","Los Angeles-Long Beach-Anaheim, CA Metro Area","Los+AngelesLong+BeachAnaheim+CA+Metro+Area","34.0522166","-118.2436619"
3,"31000US16980",9528396,3,"chicago-joliet-naperville-il-in-wi-metro-area","Chicago-Naperville-Elgin, IL-IN-WI Metro Area","Chicago-Naperville-Elgin, IL-IN-WI Metro Area","Chicago-Naperville-Elgin, IL-IN-WI Metro Area","ChicagoNapervilleElgin+ILINWI+Metro+Area","42.2162567","-87.8549755"
4,"31000US19100",6957123,4,"dallas-fort-worth-arlington-tx-metro-area","Dallas-Fort Worth-Arlington, TX Metro Area","Dallas-Fort Worth-Arlington, TX Metro Area","Dallas-Fort Worth-Arlington, TX","DallasFort+WorthArlington+TX+Metro+Area","32.7078751","-96.9209135"
5,"31000US26420",6482592,5,"houston-sugar-land-baytown-tx-metro-area","Houston-The Woodlands-Sugar Land, TX Metro Area","Houston-The Woodlands-Sugar Land, TX Metro Area","Houston-The Woodlands-Sugar Land, TX Metro Area","HoustonThe+WoodlandsSugar+Land+TX+Metro+Area","29.6711649","-95.6424268"
6,"31000US37980",6047721,6,"philadelphia-camden-wilmington-pa-nj-de-md-metro-area","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","PhiladelphiaCamdenWilmington+PANJDEMD+Metro+Area","39.9526322","-75.1652419"
7,"31000US47900",6011752,7,"washington-arlington-alexandria-dc-va-md-wv-metro-area","Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area","Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area","Washington-Arlington-Alexandria, DC-VA-MD-WV","WashingtonArlingtonAlexandria+DCVAMDWV+Metro+Area","39.1289725","-77.3783789"
8,"31000US33100",5926955,8,"miami-fort-lauderdale-pompano-beach-fl-metro-area","Miami-Fort Lauderdale-West Palm Beach, FL Metro Area","Miami-Fort Lauderdale-West Palm Beach, FL Metro Area","Miami-Fort Lauderdale-West Palm Beach, FL Metro Area","MiamiFort+LauderdaleWest+Palm+Beach+FL+Metro+Area","26.3013917","-80.6326916"
9,"31000US12060",5612777,9,"atlanta-sandy-springs-marietta-ga-metro-area","Atlanta-Sandy Springs-Roswell, GA Metro Area","Atlanta-Sandy Springs-Roswell, GA Metro Area","Atlanta-Sandy Springs-Roswell, GA Metro Area","AtlantaSandy+SpringsRoswell+GA+Metro+Area","33.8498184","-84.4382721"
10,"31000US14460",4728844,10,"boston-cambridge-quincy-ma-nh-metro-area","Boston-Cambridge-Newton, MA-NH Metro Area","Boston-Cambridge-Newton, MA-NH Metro Area","Boston-Cambridge-Newton, MA-NH Metro Area","BostonCambridgeNewton+MANH+Metro+Area","42.3600709","-71.0588305"
